video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
U3xLOo-CNwo,17.14.11,12 Weird Ways To Sneak Food Into Class / Back To School Pranks,Troom Troom,26,2017-11-12T15:00:05.000Z,3153224,28450,2285,3312,FALSE,FALSE,FALSE
AHWTbKVpukU,17.14.11,Fun Bucket | 106th Episode | Funny Videos | Harsha Annavarapu | Comedy Web Series,TeluguOne,23,2017-11-11T15:06:12.000Z,162637,1302,228,408,FALSE,FALSE,FALSE
gWZwfjfgwGs,17.14.11,"Indrajith Official Trailer | Gautham Karthik, Ashrita Shetty, Sonarika | KP | Kalaaprabhu",Think Music India,10,2017-11-10T13:28:26.000Z,544102,13384,438,409,FALSE,FALSE,FALSE
Ny_-eMpu95Q,17.14.11,பாகுபலி ஸ்டைலில் ஏற முயன்றவரை யானை தூக்கி வீசும் காட்சி,Polimer News,25,2017-11-13T11:53:16.000Z,52312,547,25,59,FALSE,FALSE,FALSE
KskjXRkmJW4,17.14.11,നമ്മുടെ ദിവ്യ ഉണ്ണിയെ ഓർമ്മയുണ്ടോ? ഇപ്പോൾ കണ്ടാൽ ഞെട്ടും | Malayalam Actress Divya Unni,a2z Media,24,2017-11-13T09:45:18.000Z,90826,104,85,20,FALSE,FALSE,FALSE
7BUEKSFwk7Q,17.14.11,"Mission IAS 2018 : 13 November, 2017 The Hindu Daily Editorial Discussion",only ias,27,2017-11-13T03:13:24.000Z,23114,0,0,0,TRUE,TRUE,FALSE
EU-y4Y7khJU,17.14.11,Bithiri Sathi Turns Brand Ambassador For Chicken | Teenmaar News | V6 News,V6 News Telugu,25,2017-11-11T16:20:17.000Z,357019,2487,219,326,FALSE,FALSE,FALSE
pw3iSkTRJWw,17.14.11,Kuladheivam SUN TV Episode - 771 (13-11-17),THIRU TV,24,2017-11-13T14:30:00.000Z,117022,466,135,24,FALSE,FALSE,FALSE
NTiSvK7c810,17.14.11,சசிகலா குடும்பத்துக்கு  ஆப்பு  வைத்த  ஜெயானந்த் கொளுத்தி போட்ட தீ,TAMIL CINEMA CINI MINI,25,2017-11-13T09:42:18.000Z,32811,48,27,1,FALSE,FALSE,FALSE
g7BHnHzwOVo,17.14.11,10 Years Old - Pyar Ho Jayega Prank on Girls by Kid | Prank In India | The HunGama Films,The HunGama Films - Ab Mauj Legi Dilli,24,2017-11-13T04:30:00.000Z,263844,9983,677,514,FALSE,FALSE,FALSE
